,household_id,school_id,y_ij,test_scores,sports,distance
179,35,4,0,0.5,2.8,4.486464554836958
180,36,0,0,0.95,1.0,9.513084933400078
181,36,1,0,0.45,3.5,7.5890266855755995
182,36,2,0,0.65,0.5,5.342114884050045
183,36,3,1,0.85,2.0,5.9567656353426806
184,36,4,0,0.5,2.8,1.605489931047372
185,37,0,0,0.95,1.0,8.068921420096377
186,37,1,0,0.45,3.5,4.301167484031389
187,37,2,0,0.65,0.5,4.067878979601844
188,37,3,1,0.85,2.0,7.113032901630934
189,37,4,0,0.5,2.8,1.99694414085196
190,38,0,0,0.95,1.0,7.4811756198872645
191,38,1,0,0.45,3.5,9.835398880341723
192,38,2,0,0.65,0.5,5.6149625908648435
193,38,3,1,0.85,2.0,1.5233314341258994
194,38,4,0,0.5,2.8,6.564116173410377
195,39,0,1,0.95,1.0,2.016250433112821
196,39,1,0,0.45,3.5,7.824920087030571
197,39,2,0,0.65,0.5,5.175398796563352
198,39,3,0,0.85,2.0,5.32354496914643
199,39,4,0,0.5,2.8,9.246850252811015
200,40,0,0,0.95,1.0,4.7883245429343555
201,40,1,0,0.45,3.5,7.009595762695307
202,40,2,0,0.65,0.5,2.778791722866159
203,40,3,1,0.85,2.0,1.5195177266958564
204,40,4,0,0.5,2.8,5.339973309827629
205,41,0,0,0.95,1.0,3.066763680655559
206,41,1,1,0.45,3.5,3.3047649756505626
207,41,2,0,0.65,0.5,4.073075322553035
208,41,3,0,0.85,2.0,7.63271993604471
209,41,4,0,0.5,2.8,7.731419384135942
210,42,0,1,0.95,1.0,4.455259737303916
211,42,1,0,0.45,3.5,8.84908994176518
212,42,2,0,0.65,0.5,4.98185921677111
213,42,3,0,0.85,2.0,2.7076649929422234
214,42,4,0,0.5,2.8,8.111011230704415
215,43,0,1,0.95,1.0,4.960545739777945
216,43,1,0,0.45,3.5,5.062510657323893
217,43,2,0,0.65,0.5,1.0173921640888988
218,43,3,0,0.85,2.0,3.5272027834505053
219,43,4,0,0.5,2.8,3.669217845082227
220,44,0,0,0.95,1.0,7.805428583348786
221,44,1,0,0.45,3.5,7.29670142639084
222,44,2,0,0.65,0.5,3.9567331271953856
223,44,3,1,0.85,2.0,3.750949529625351
224,44,4,0,0.5,2.8,2.5272037333647055
225,45,0,0,0.95,1.0,7.184928250607116
226,45,1,1,0.45,3.5,1.1897777195344568
227,45,2,0,0.65,0.5,5.217657791384418
228,45,3,0,0.85,2.0,9.435694708609878
229,45,4,0,0.5,2.8,6.230947896557699
230,46,0,0,0.95,1.0,9.466604313017749
231,46,1,0,0.45,3.5,6.046659646679491
232,46,2,0,0.65,0.5,5.275011608674164
233,46,3,0,0.85,2.0,7.42222352536706
234,46,4,1,0.5,2.8,1.4264984136157044
235,47,0,0,0.95,1.0,6.3559648399864574
236,47,1,0,0.45,3.5,4.869819173274107
237,47,2,0,0.65,0.5,2.1166666871071436
238,47,3,1,0.85,2.0,4.609275100081374
239,47,4,0,0.5,2.8,2.1359463198952797
240,48,0,0,0.95,1.0,7.963820212268864
241,48,1,0,0.45,3.5,7.608889852354613
242,48,2,0,0.65,0.5,4.197978156295374
243,48,3,0,0.85,2.0,3.6538796389866506
244,48,4,1,0.5,2.8,2.7970714735458797
245,49,0,0,0.95,1.0,4.0069901742948275
246,49,1,0,0.45,3.5,6.932848297264166
247,49,2,0,0.65,0.5,2.8462639281542597
248,49,3,1,0.85,2.0,2.0342200432956083
249,49,4,0,0.5,2.8,6.012193147307306
250,50,0,0,0.95,1.0,6.176978284339701
251,50,1,1,0.45,3.5,0.6677524246351959
252,50,2,0,0.65,0.5,4.818172881460089
253,50,3,0,0.85,2.0,9.05448433267564
254,50,4,0,0.5,2.8,6.653910061465408
255,51,0,0,0.95,1.0,4.623727336858108
256,51,1,1,0.45,3.5,2.741871908486051
257,51,2,0,0.65,0.5,1.5094202503950047
258,51,3,0,0.85,2.0,5.7479420162402555
259,51,4,0,0.5,2.8,4.379251591196383
260,52,0,0,0.95,1.0,5.812887666612583
261,52,1,0,0.45,3.5,1.3657606117847783
262,52,2,0,0.65,0.5,5.075886218134452
263,52,3,1,0.85,2.0,9.25548160552393
264,52,4,0,0.5,2.8,7.330728393156976
265,53,0,0,0.95,1.0,7.728197367114856
266,53,1,0,0.45,3.5,6.848891065054005
267,53,2,0,0.65,0.5,3.727123593849549
268,53,3,0,0.85,2.0,4.107991205769965
269,53,4,1,0.5,2.8,2.0144145607543074
270,54,0,0,0.95,1.0,4.452018952441696
271,54,1,0,0.45,3.5,2.1020773699674296
272,54,2,0,0.65,0.5,2.199849832125678
273,54,3,0,0.85,2.0,6.423390794469659
274,54,4,1,0.5,2.8,5.085096441062519
275,55,0,0,0.95,1.0,4.762732960706392
276,55,1,0,0.45,3.5,1.997022419596832
277,55,2,0,0.65,0.5,2.246484216620514
278,55,3,1,0.85,2.0,6.488858460983549
279,55,4,0,0.5,2.8,4.838363092622452
280,56,0,0,0.95,1.0,4.740397938513612
281,56,1,1,0.45,3.5,1.4967424649061358
282,56,2,0,0.65,0.5,4.081071087880666
283,56,3,0,0.85,2.0,8.189630299495679
284,56,4,0,0.5,2.8,6.843895808178765
285,57,0,1,0.95,1.0,1.8542335379496124
286,57,1,0,0.45,3.5,5.462524389854019
287,57,2,0,0.65,0.5,5.164840236608355
288,57,3,0,0.85,2.0,7.714400600800252
289,57,4,0,0.5,2.8,9.268924820394227
290,58,0,0,0.95,1.0,3.732807430283062
291,58,1,0,0.45,3.5,7.991540817392697
292,58,2,0,0.65,0.5,4.196797682141063
293,58,3,1,0.85,2.0,2.7132078677454214
294,58,4,0,0.5,2.8,7.569172362819647
295,59,0,1,0.95,1.0,3.1766803340468512
296,59,1,0,0.45,3.5,6.502884850406252
297,59,2,0,0.65,0.5,2.6878335891415728
298,59,3,0,0.85,2.0,2.856814209603452
299,59,4,0,0.5,2.8,6.352763246109155
300,60,0,0,0.95,1.0,8.217169626249602
301,60,1,0,0.45,3.5,6.955108388646297
302,60,2,0,0.65,0.5,4.132376304406117
303,60,3,1,0.85,2.0,4.666854952172418
304,60,4,0,0.5,2.8,1.622094687703306
305,61,0,0,0.95,1.0,1.952654995645565
306,61,1,0,0.45,3.5,4.6049473158110015
307,61,2,0,0.65,0.5,2.321306242265882
308,61,3,1,0.85,2.0,5.056815752958591
309,61,4,0,0.5,2.8,6.554697842673263
310,62,0,0,0.95,1.0,1.4024553127462474
311,62,1,0,0.45,3.5,4.932227885711812
312,62,2,0,0.65,0.5,4.251575912406831
313,62,3,1,0.85,2.0,6.915556634235797
314,62,4,0,0.5,2.8,8.377643736377538
315,63,0,0,0.95,1.0,7.73634687427696
316,63,1,1,0.45,3.5,6.3457906678571705
317,63,2,0,0.65,0.5,3.5889812194362896
318,63,3,0,0.85,2.0,4.636001853609383
319,63,4,0,0.5,2.8,1.3822117883298135
320,64,0,0,0.95,1.0,4.504538585858986
321,64,1,0,0.45,3.5,4.8508024663898475
322,64,2,0,0.65,0.5,0.6424425287917277
323,64,3,0,0.85,2.0,3.6462556462303617
324,64,4,1,0.5,2.8,4.066275560523184
325,65,0,0,0.95,1.0,9.078592574715259
326,65,1,0,0.45,3.5,5.234809403808398
327,65,2,0,0.65,0.5,4.997712078220255
328,65,3,1,0.85,2.0,7.6518639911708055
329,65,4,0,0.5,2.8,1.8797363900031827
330,66,0,0,0.95,1.0,8.789033009317134
331,66,1,0,0.45,3.5,6.916857295126737
332,66,2,1,0.65,0.5,4.601641728963193
333,66,3,0,0.85,2.0,5.523341231747571
334,66,4,0,0.5,2.8,1.0502913712892017
335,67,0,0,0.95,1.0,4.504429179785778
336,67,1,0,0.45,3.5,7.375297492685384
337,67,2,0,0.65,0.5,3.2144181699674683
338,67,3,1,0.85,2.0,1.506637062209311
339,67,4,0,0.5,2.8,6.0311761794138
340,68,0,1,0.95,1.0,8.24714367438151
341,68,1,0,0.45,3.5,6.475186340695048
342,68,2,0,0.65,0.5,4.054384377793476
343,68,3,0,0.85,2.0,5.191148930542049
344,68,4,0,0.5,2.8,0.9277319547696009
345,69,0,1,0.95,1.0,5.0950421742333765
346,69,1,0,0.45,3.5,6.686193927563682
347,69,2,0,0.65,0.5,2.4504366252405414
348,69,3,0,0.85,2.0,1.8177156190259947
349,69,4,0,0.5,2.8,4.695724071048439
350,70,0,0,0.95,1.0,4.553810409501144
351,70,1,0,0.45,3.5,2.8651555890332165
352,70,2,0,0.65,0.5,1.382566768067536
353,70,3,1,0.85,2.0,5.622620846808109
354,70,4,0,0.5,2.8,4.36872893307063
355,71,0,1,0.95,1.0,1.8190523204124645
356,71,1,0,0.45,3.5,7.14889225646452
357,71,2,0,0.65,0.5,4.245574153454364
358,71,3,0,0.85,2.0,4.576367477642188
359,71,4,0,0.5,2.8,8.291010097724012
360,72,0,0,0.95,1.0,7.636635297813686
361,72,1,0,0.45,3.5,1.6431764656775172
362,72,2,0,0.65,0.5,5.433019757723809
363,72,3,1,0.85,2.0,9.609129954281922
364,72,4,0,0.5,2.8,6.059472642385691
365,73,0,0,0.95,1.0,1.8861279286307662
366,73,1,1,0.45,3.5,7.065473751460684
367,73,2,0,0.65,0.5,4.083923782791493
368,73,3,0,0.85,2.0,4.408621960966948
369,73,4,0,0.5,2.8,8.111682215430964
370,74,0,1,0.95,1.0,1.196682914221415
371,74,1,0,0.45,3.5,7.022418026895836
372,74,2,0,0.65,0.5,4.619660870740866
373,74,3,0,0.85,2.0,5.41924147615115
374,74,4,0,0.5,2.8,8.789225399551375
375,75,0,0,0.95,1.0,7.242628896215057
376,75,1,0,0.45,3.5,1.6495268036435136
377,75,2,0,0.65,0.5,4.523425816278973
378,75,3,1,0.85,2.0,8.61404803532113
379,75,4,0,0.5,2.8,4.946421828197514
380,76,0,0,0.95,1.0,3.8782969894007175
381,76,1,1,0.45,3.5,2.175878165793198
382,76,2,0,0.65,0.5,2.7501145234131665
383,76,3,0,0.85,2.0,6.811153646145451
384,76,4,0,0.5,2.8,6.007085170511683
385,77,0,0,0.95,1.0,4.7353860231846365
386,77,1,1,0.45,3.5,1.5054201608693258
387,77,2,0,0.65,0.5,4.084813589965785
388,77,3,0,0.85,2.0,8.191771131372416
389,77,4,0,0.5,2.8,6.8518262777865235
390,78,0,0,0.95,1.0,6.305394892305544
391,78,1,1,0.45,3.5,2.231788241489829
392,78,2,0,0.65,0.5,2.9987795959501566
393,78,3,0,0.85,2.0,7.00031994806821
394,78,4,0,0.5,2.8,3.7719164071147078
395,79,0,0,0.95,1.0,5.584886395413346
396,79,1,0,0.45,3.5,8.315750693635621
397,79,2,0,0.65,0.5,4.083669781615273
398,79,3,1,0.85,2.0,0.44833934899153455
399,79,4,0,0.5,2.8,6.177520677495333
400,80,0,1,0.95,1.0,4.2688307931460585
401,80,1,0,0.45,3.5,3.421843312783926
402,80,2,0,0.65,0.5,0.8229601320962623
403,80,3,0,0.85,2.0,5.064140114648855
404,80,4,0,0.5,2.8,4.3739696406728505
405,81,0,0,0.95,1.0,5.827836451407558
406,81,1,0,0.45,3.5,8.067747683629047
407,81,2,0,0.65,0.5,3.8267690815941826
408,81,3,1,0.85,2.0,0.4469569565277081
409,81,4,0,0.5,2.8,5.596842458327349
410,82,0,0,0.95,1.0,2.279027892216204
411,82,1,1,0.45,3.5,4.6216621824928055
412,82,2,0,0.65,0.5,4.763551541992178
413,82,3,0,0.85,2.0,7.747456696061486
414,82,4,0,0.5,2.8,8.728624087044457
415,83,0,1,0.95,1.0,7.839211060474819
416,83,1,0,0.45,3.5,2.368315365256309
417,83,2,0,0.65,0.5,6.610838477265665
418,83,3,0,0.85,2.0,10.85345350916856
419,83,4,0,0.5,2.8,7.871031742682893
420,84,0,0,0.95,1.0,2.774553464040058
421,84,1,0,0.45,3.5,7.296701830961148
422,84,2,0,0.65,0.5,3.8106758465738695
423,84,3,1,0.85,2.0,3.435206428349127
424,84,4,0,0.5,2.8,7.572605488899198
425,85,0,0,0.95,1.0,1.3536313564074196
426,85,1,1,0.45,3.5,6.073691205553453
427,85,2,0,0.65,0.5,3.3545370916965043
428,85,3,0,0.85,2.0,4.649313211509625
429,85,4,0,0.5,2.8,7.528181742631212
430,86,0,0,0.95,1.0,8.422758643586889
431,86,1,1,0.45,3.5,7.926855248843439
432,86,2,0,0.65,0.5,4.628005133594823
433,86,3,0,0.85,2.0,4.000228605597846
434,86,4,0,0.5,2.8,2.8096262856548035
435,87,0,0,0.95,1.0,7.470327412500475
436,87,1,0,0.45,3.5,1.8569665422442723
437,87,2,0,0.65,0.5,6.09863096471423
438,87,3,1,0.85,2.0,10.341096390060766
439,87,4,0,0.5,2.8,7.387882486720158
440,88,0,0,0.95,1.0,6.541055347761991
441,88,1,1,0.45,3.5,0.6227088495322726
442,88,2,0,0.65,0.5,4.849450110986921
443,88,3,0,0.85,2.0,9.091015699393347
444,88,4,0,0.5,2.8,6.3442042602217965
445,89,0,0,0.95,1.0,6.1897733719793315
446,89,1,1,0.45,3.5,0.9702317744108141
447,89,2,0,0.65,0.5,3.72108706904023
448,89,3,0,0.85,2.0,7.921592532734845
449,89,4,0,0.5,2.8,5.03782528024667
450,90,0,0,0.95,1.0,7.3300669244238525
451,90,1,0,0.45,3.5,5.252595381578975
452,90,2,0,0.65,0.5,3.0874305462482985
453,90,3,1,0.85,2.0,5.241631092821141
454,90,4,0,0.5,2.8,1.1552374817679583
455,91,0,0,0.95,1.0,10.153981513514747
456,91,1,0,0.45,3.5,7.812630120902731
457,91,2,0,0.65,0.5,5.940767127259603
458,91,3,0,0.85,2.0,6.7489435258135035
459,91,4,1,0.5,2.8,1.8660352472173207
460,92,0,0,0.95,1.0,4.349086052505269
461,92,1,0,0.45,3.5,6.771768391530802
462,92,2,0,0.65,0.5,2.5859603244930693
463,92,3,0,0.85,2.0,1.8755091178581187
464,92,4,1,0.5,2.8,5.519042680357594
465,93,0,0,0.95,1.0,5.525317204320259
466,93,1,1,0.45,3.5,1.3482710157506672
467,93,2,0,0.65,0.5,4.836912467225242
468,93,3,0,0.85,2.0,8.998533752744645
469,93,4,0,0.5,2.8,7.229267889824012
470,94,0,1,0.95,1.0,4.786431037102188
471,94,1,0,0.45,3.5,1.8315462158169133
472,94,2,0,0.65,0.5,2.416880404221383
473,94,3,0,0.85,2.0,6.657932129118272
474,94,4,0,0.5,2.8,4.977218068729107
475,95,0,0,0.95,1.0,3.515892552523712
476,95,1,0,0.45,3.5,7.279094402573551
477,95,2,0,0.65,0.5,3.4212664922728693
478,95,3,0,0.85,2.0,2.5347413084416734
479,95,4,1,0.5,2.8,6.859200272729067
480,96,0,0,0.95,1.0,4.590993561783293
481,96,1,1,0.45,3.5,5.064700409207589
482,96,2,0,0.65,0.5,0.8598930643325496
483,96,3,0,0.85,2.0,3.4391338922971464
484,96,4,0,0.5,2.8,4.049890156515211
485,97,0,0,0.95,1.0,5.333800197299479
486,97,1,0,0.45,3.5,3.3792475044466843
487,97,2,0,0.65,0.5,1.4192383307959402
488,97,3,1,0.85,2.0,5.348753236305798
489,97,4,0,0.5,2.8,3.402800366534736
490,98,0,0,0.95,1.0,7.05496493849988
491,98,1,1,0.45,3.5,1.0744512044603383
492,98,2,0,0.65,0.5,5.175773945378041
493,98,3,0,0.85,2.0,9.403341240034953
494,98,4,0,0.5,2.8,6.309099902826531
495,99,0,0,0.95,1.0,1.7969184207084152
496,99,1,0,0.45,3.5,5.34545769130672
497,99,2,0,0.65,0.5,2.5550182776862074
498,99,3,0,0.85,2.0,4.525739593599152
499,99,4,1,0.5,2.8,6.769587948164937
500,100,0,1,0.95,1.0,7.30963345362396
501,100,1,0,0.45,3.5,4.528233520579436
502,100,2,0,0.65,0.5,3.1371855236280854
503,100,3,0,0.85,2.0,5.931185986160274
504,100,4,0,0.5,2.8,1.5010412362705767
505,101,0,0,0.95,1.0,5.444797728590723
506,101,1,0,0.45,3.5,8.054508097812636
507,101,2,0,0.65,0.5,3.820202621048135
508,101,3,1,0.85,2.0,0.5592811761509257
509,101,4,0,0.5,2.8,5.96171735546557
510,102,0,0,0.95,1.0,8.073598421753669
511,102,1,0,0.45,3.5,5.709513720706346
512,102,2,0,0.65,0.5,3.8309634906889354
513,102,3,0,0.85,2.0,5.723112405592701
514,102,4,1,0.5,2.8,0.41179006573710136
515,103,0,0,0.95,1.0,1.2223137564177955
516,103,1,0,0.45,3.5,7.217291897136061
517,103,2,0,0.65,0.5,5.105225528245609
518,103,3,1,0.85,2.0,6.003111947984601
519,103,4,0,0.5,2.8,9.307663749264535
520,104,0,0,0.95,1.0,9.722079304046803
521,104,1,0,0.45,3.5,6.860949113516341
522,104,2,0,0.65,0.5,5.479945325814417
523,104,3,0,0.85,2.0,6.999069853171198
524,104,4,1,0.5,2.8,1.241279804740005
525,105,0,0,0.95,1.0,3.5141984543959617
526,105,1,1,0.45,3.5,6.9051337326136
527,105,2,0,0.65,0.5,2.98876091753684
528,105,3,0,0.85,2.0,2.48686786522989
529,105,4,0,0.5,2.8,6.443275011010498
530,106,0,0,0.95,1.0,2.2518502015238986
531,106,1,1,0.45,3.5,5.792135902789357
532,106,2,0,0.65,0.5,2.5164950882675092
533,106,3,0,0.85,2.0,3.8880144987085004
534,106,4,0,0.5,2.8,6.602625669265658
535,107,0,0,0.95,1.0,1.9683872876869213
536,107,1,0,0.45,3.5,7.833336914421513
537,107,2,0,0.65,0.5,5.264241983455739
538,107,3,1,0.85,2.0,5.483002836577532
539,107,4,0,0.5,2.8,9.35681242766085
540,108,0,0,0.95,1.0,7.225956357785298
541,108,1,0,0.45,3.5,8.92931896121471
542,108,2,0,0.65,0.5,4.777631394398139
543,108,3,1,0.85,2.0,1.385202645957937
544,108,4,0,0.5,2.8,5.42559473208787
545,109,0,0,0.95,1.0,3.8862114850035128
546,109,1,1,0.45,3.5,2.1321851960451643
547,109,2,0,0.65,0.5,3.3426691583683144
548,109,3,0,0.85,2.0,7.334893352624788
549,109,4,0,0.5,2.8,6.576034861407006
550,110,0,0,0.95,1.0,3.7094098740989563
551,110,1,1,0.45,3.5,4.738351665832968
552,110,2,0,0.65,0.5,0.7277907186720651
553,110,3,0,0.85,2.0,3.821960511474228
554,110,4,0,0.5,2.8,4.826969758172053
555,111,0,0,0.95,1.0,5.493682236749143
556,111,1,0,0.45,3.5,3.700990465705944
557,111,2,0,0.65,0.5,1.4114058530090356
558,111,3,1,0.85,2.0,5.127065684830849
559,111,4,0,0.5,2.8,3.1310682594672476
560,112,0,0,0.95,1.0,2.472101700125327
561,112,1,1,0.45,3.5,3.9486911672655958
562,112,2,0,0.65,0.5,2.0504008555849924
563,112,3,0,0.85,2.0,5.368065331450987
564,112,4,0,0.5,2.8,6.188457038826787
565,113,0,0,0.95,1.0,8.617075751309349
566,113,1,0,0.45,3.5,8.077998108911455
567,113,2,0,0.65,0.5,4.8170637483270395
568,113,3,1,0.85,2.0,4.141757219262865
569,113,4,0,0.5,2.8,2.855558055282632
570,114,0,0,0.95,1.0,7.723894657265085
571,114,1,1,0.45,3.5,7.300692634961574
572,114,2,0,0.65,0.5,3.906226057238429
